Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2020);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2020, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;2
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2015);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2015, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;3;0;2
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2016);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2016, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2017);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2017, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;2;0;28
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2018);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2018, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2019);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2019, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;2;0;5
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Procurador-Chefe do INPI (2020);Histórico de compromissos públicos do Procurador-Chefe do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2020, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,procurador-chefe,reuniões governamentais;2;0;5
Instituto Nacional da Propriedade Industrial - INPI;Boletim Mensal de Propriedade Industrial (Abril/2016);Relatório de abril de 2016 com a apresentação da visão geral dos serviços prestados pelo INPI, obtidos a partir das estatísticas preliminares do mês anterior;contratos de tecnologia e franquia,desenhos industriais,estatísticas,indicadores,indicações geográficas,informação tecnológica,inovação,marcas,patentes,programas de computador,topografias de circuitos integrados,transferência de tecnologia;2;0;19
Instituto Nacional da Propriedade Industrial - INPI;Boletim Mensal de Propriedade Industrial (Abril/2017);Relatório de abril de 2017 com a apresentação da visão geral dos serviços prestados pelo INPI, obtidos a partir das estatísticas preliminares do mês anterior;contratos de tecnologia e franquia,desenhos industriais,estatísticas,indicadores,indicações geográficas,informação tecnológica,inovação,marcas,patentes,programas de computador,topografias de circuitos integrados,transferência de tecnologia;2;0;4
Instituto Nacional da Propriedade Industrial - INPI;Boletim Mensal de Propriedade Industrial (Abril/2018);Relatório de abril de 2018 com a apresentação da visão geral dos serviços prestados pelo INPI, obtidos a partir das estatísticas preliminares do mês anterior;contratos de tecnologia e franquia,desenhos industriais,estatísticas,indicadores,indicações geográficas,informação tecnológica,inovação,marcas,patentes,programas de computador,topografias de circuitos integrados,transferência de tecnologia;2;0;4
